iter	Passed	Remaining
455	686	2324
456	687	2322
457	689	2319
458	690	2316
459	691	2313
460	692	2312
461	694	2312
462	696	2310
463	697	2308
464	698	2305
465	700	2304
466	701	2302
467	702	2299
468	703	2296
469	704	2292
470	705	2290
471	706	2286
472	707	2285
473	709	2283
474	710	2280
475	711	2278
476	712	2274
477	713	2271
478	714	2268
479	715	2264
480	716	2261
481	717	2258
482	717	2254
483	718	2251
484	719	2248
485	720	2245
486	722	2244
487	723	2242
488	725	2241
489	726	2239
490	728	2237
491	729	2235
492	730	2233
493	731	2230
494	732	2228
495	733	2225
496	735	2223
497	736	2221
498	738	2220
499	739	2219
500	741	2217
501	742	2216
502	743	2214
503	745	2211
504	746	2208
505	747	2205
506	748	2203
507	749	2199
508	750	2198
509	752	2197
510	753	2196
511	754	2193
512	755	2190
513	756	2187
514	757	2184
515	758	2181
516	759	2178
517	760	2175
518	761	2172
519	762	2168
520	762	2165
521	764	2163
522	764	2160
523	765	2156
524	766	2153
525	768	2152
526	769	2150
527	770	2147
528	771	2144
529	772	2141
530	772	2138
531	773	2134
532	774	2131
533	775	2128
534	776	2125
535	777	2122
536	778	2120
537	779	2117
538	780	2114
539	780	2111
540	781	2108
541	783	2107
542	784	2104
543	785	2102
544	786	2099
545	787	2096
546	788	2093
547	789	2090
548	790	2088
549	790	2085
550	792	2083
551	793	2081
552	794	2079
553	796	2078
554	797	2075
555	798	2074
556	800	2073
557	801	2071
558	802	2069
559	803	2066
560	804	2064
561	805	2061
562	807	2060
563	808	2058
564	809	2056
565	810	2054
566	811	2052
567	813	2051
568	815	2050
569	816	2049
570	818	2047
571	819	2044
572	819	2042
573	820	2039
574	821	2036
575	822	2033
576	823	2031
577	824	2028
578	825	2025
579	826	2023
580	827	2020
581	828	2019
582	830	2017
583	831	2016
584	832	2014
585	833	2011
586	834	2008
587	835	2006
588	836	2003
589	837	2000
590	838	1998
591	838	1995
592	839	1992
593	840	1989
594	842	1988
595	843	1988
596	844	1985
597	845	1983
598	846	1980
599	847	1977
600	848	1975
601	849	1973
602	850	1971
603	851	1968
604	852	1965
605	853	1963
606	854	1960
607	855	1958
608	856	1956
609	857	1953
610	858	1952
611	860	1950
612	861	1948
613	861	1945
614	862	1943
615	863	1940
616	864	1937
617	865	1935
618	866	1933
619	867	1930
620	868	1928
621	869	1926
622	870	1923
623	871	1921
624	872	1918
625	872	1915
626	874	1914
627	875	1912
628	876	1910
629	877	1908
630	878	1906
631	879	1903
632	880	1901
633	881	1898
634	882	1896
635	882	1893
636	883	1891
637	884	1888
638	885	1886
639	886	1884
640	887	1882
641	889	1881
642	890	1879
643	891	1877
644	892	1874
645	893	1872
646	894	1869
647	895	1867
648	896	1865
649	896	1862
650	897	1860
651	898	1857
652	899	1855
653	900	1853
654	901	1851
655	902	1848
656	903	1846
657	905	1845
658	906	1844
659	907	1841
660	908	1839
661	908	1836
662	909	1834
663	910	1832
664	911	1830
665	912	1827
666	913	1825
667	914	1823
668	915	1821
669	916	1819
670	917	1817
671	918	1814
672	919	1813
673	921	1812
674	922	1810
675	923	1809
676	925	1808
677	926	1806
678	927	1804
679	928	1801
680	929	1799
681	930	1797
682	931	1795
683	932	1793
684	933	1791
685	933	1788
686	935	1787
687	936	1785
688	938	1786
689	940	1784
690	941	1783
691	942	1781
692	943	1779
693	945	1778
694	946	1777
695	947	1775
696	948	1773
697	951	1774
698	952	1772
699	953	1771
700	955	1771
701	957	1770
702	958	1768
703	959	1767
704	960	1765
705	961	1762
706	962	1760
707	963	1758
708	965	1757
709	965	1755
710	966	1752
711	967	1750
712	968	1748
713	969	1746
714	970	1744
715	971	1742
716	973	1741
717	1016	1815
718	1019	1816
719	1022	1818
720	1025	1819
721	1032	1827
722	1035	1829
723	1039	1831
724	1041	1831
725	1044	1832
726	1047	1835
727	1052	1838
728	1054	1839
729	1057	1840
730	1060	1840
731	1062	1841
732	1065	1842
733	1067	1841
734	1070	1841
735	1071	1840
736	1074	1840
737	1076	1840
738	1078	1839
739	1080	1839
740	1082	1838
741	1084	1838
742	1085	1836
743	1086	1834
744	1088	1833
745	1090	1832
746	1091	1831
747	1093	1830
748	1094	1828
749	1095	1826
750	1096	1824
751	1097	1821
752	1098	1819
753	1099	1817
754	1100	1814
755	1102	1813
756	1103	1812
757	1105	1811
758	1106	1809
759	1107	1807
760	1109	1806
761	1110	1804
762	1111	1802
763	1113	1800
764	1114	1799
765	1116	1798
766	1117	1796
767	1118	1794
768	1120	1793
769	1121	1791
770	1122	1789
771	1123	1787
772	1124	1784
773	1125	1782
774	1126	1780
775	1127	1778
776	1128	1775
777	1129	1773
778	1130	1771
779	1131	1769
780	1132	1766
781	1133	1765
782	1134	1763
783	1135	1761
784	1136	1759
785	1137	1757
786	1138	1754
787	1139	1752
788	1140	1750
789	1141	1748
790	1142	1746
791	1143	1743
792	1144	1742
793	1145	1740
794	1146	1738
795	1147	1736
796	1149	1734
797	1150	1732
798	1151	1730
799	1152	1728
800	1153	1727
801	1155	1725
802	1156	1723
803	1157	1721
804	1157	1718
805	1159	1717
806	1160	1715
807	1162	1714
808	1163	1712
809	1164	1711
810	1165	1709
811	1168	1709
812	1169	1707
813	1170	1705
814	1171	1703
815	1172	1701
816	1173	1699
817	1174	1697
818	1176	1695
819	1177	1693
820	1177	1691
821	1179	1691
822	1181	1689
823	1183	1688
824	1184	1686
825	1185	1684
826	1186	1682
827	1187	1680
828	1188	1678
829	1189	1677
830	1191	1675
831	1192	1673
832	1192	1671
833	1194	1669
834	1195	1667
835	1197	1666
836	1198	1665
837	1200	1664
838	1201	1662
839	1202	1660
840	1203	1658
841	1204	1656
842	1206	1655
843	1207	1653
844	1209	1653
845	1211	1652
846	1212	1650
847	1214	1649
848	1216	1649
849	1218	1648
850	1219	1646
851	1221	1645
852	1222	1644
853	1225	1644
854	1227	1643
855	1228	1642
856	1230	1640
857	1231	1639
858	1233	1637
859	1234	1636
860	1235	1634
861	1236	1632
862	1238	1631
863	1239	1629
864	1241	1629
865	1242	1627
866	1244	1625
867	1245	1624
868	1246	1622
869	1247	1620
870	1249	1619
871	1250	1617
872	1252	1616
873	1253	1615
874	1254	1613
875	1256	1611
876	1257	1610
877	1258	1608
878	1260	1607
879	1261	1605
880	1262	1603
