iter	MAE
0	0.2351880062
1	0.227383342
2	0.2211903501
3	0.2146095127
4	0.2089495467
5	0.2028986735
6	0.1980146874
7	0.1937587908
8	0.1890786855
9	0.1852923422
10	0.1814537209
11	0.1776975605
12	0.1737643404
13	0.1697666539
14	0.1665356044
15	0.1635358172
16	0.1603189175
17	0.1579252235
18	0.1554851456
19	0.1527785801
20	0.1499698469
21	0.1474812438
22	0.1457775896
23	0.1437522786
24	0.1416437663
25	0.1401367416
26	0.1395296975
27	0.1386129927
28	0.1377013938
29	0.1361674013
30	0.1346086339
31	0.1335680301
32	0.1323614826
33	0.1310941033
34	0.1296162507
35	0.1280240156
36	0.1270943868
37	0.1263371954
38	0.1251355114
39	0.1242626421
40	0.1236035302
41	0.1225368902
42	0.1216233011
43	0.1209373901
44	0.119916063
45	0.1191589974
46	0.1182730169
47	0.1175594667
48	0.1172872779
49	0.1163567573
50	0.1156422052
51	0.1150104164
52	0.114197508
53	0.1136569368
54	0.1131001246
55	0.1129472869
56	0.1122155322
57	0.1119552181
58	0.1113579196
59	0.1107000999
60	0.110274529
61	0.1101004627
62	0.1096310909
63	0.1092857365
64	0.1085134381
65	0.1080897712
66	0.1075125605
67	0.1067564418
68	0.1067045745
69	0.1060224912
70	0.1056711765
71	0.1051952567
72	0.1048043793
73	0.1043503068
74	0.1037324896
75	0.1034826981
76	0.1029618288
77	0.1027746483
78	0.1022376016
79	0.101951145
80	0.1017035239
81	0.1012442852
82	0.1009048151
83	0.1006340131
84	0.1005583279
85	0.1002084648
86	0.09963514624
87	0.0994257579
88	0.09928521337
89	0.09898381879
90	0.09829880571
91	0.09822686792
92	0.09820949362
93	0.09773642704
94	0.09753749621
95	0.0972118442
96	0.09700169791
97	0.096657123
98	0.09648021466
99	0.0963810659
100	0.09603571433
101	0.09583756769
102	0.09558056572
103	0.09531720662
104	0.09503513058
105	0.09461380958
106	0.0941578019
107	0.0936905493
108	0.09354646631
109	0.09340323293
110	0.09334875864
111	0.09300557951
112	0.09267395174
113	0.09257001049
114	0.09235257373
115	0.09213691453
116	0.09159355054
117	0.09138395938
118	0.09108862558
119	0.09073590153
120	0.09064875098
121	0.09021947649
122	0.08990486693
123	0.08978117889
124	0.08960419466
125	0.08938886521
126	0.08920415651
127	0.08908316102
128	0.08878942543
129	0.08845358522
130	0.08805848997
131	0.08778219074
132	0.08757893671
133	0.08735872462
134	0.08713773421
135	0.08702085514
136	0.08674202779
137	0.08649307168
138	0.08629953396
139	0.08592973254
140	0.08574595249
141	0.08560674972
142	0.08542911365
143	0.08519648745
144	0.08493264609
145	0.0846357783
146	0.08438019734
147	0.08421374356
148	0.08394832266
149	0.08373075925
150	0.08333772294
151	0.08305571723
152	0.08279881937
153	0.08264233124
154	0.08243419952
155	0.08224378044
156	0.08199738245
157	0.08182493416
158	0.08162449362
159	0.08151557532
160	0.08127943639
161	0.08097445697
162	0.08074487726
163	0.08055237581
164	0.08034115862
165	0.0800818312
166	0.07997790029
167	0.07980714246
168	0.07965648259
169	0.07944569261
170	0.07932231784
171	0.07923357149
172	0.07908424627
173	0.07896746844
174	0.07888995806
175	0.07875896345
176	0.07865886857
177	0.07847773274
178	0.07839547813
179	0.07832079221
180	0.07818214064
181	0.07807630377
182	0.07791822185
183	0.07781482076
184	0.07772531025
185	0.07756038761
186	0.07742308171
187	0.0772570223
188	0.07714598673
189	0.07698479401
190	0.07685893622
191	0.07682076864
192	0.07662603267
193	0.07643488526
194	0.07630092093
195	0.07625571225
196	0.0762118675
197	0.07597954341
198	0.07573012689
199	0.07567431068
200	0.07547174856
201	0.07523675784
202	0.07514489499
203	0.07500371348
204	0.0748240468
205	0.07473702736
206	0.07464153642
207	0.07453066173
208	0.07442197232
209	0.07424736058
210	0.07410878037
211	0.07394255102
212	0.07388430932
213	0.07383553429
214	0.07371802919
215	0.07361319067
216	0.07359269392
217	0.07349659739
218	0.07342760517
219	0.07331185936
220	0.07318450405
221	0.07308521203
222	0.07295939204
223	0.07292303049
224	0.07289338845
225	0.07283805277
226	0.07265783496
227	0.07260365677
228	0.07258423026
229	0.07255621964
230	0.07248956817
231	0.0724693937
232	0.07230565371
233	0.07229236601
234	0.07218493689
235	0.07208431149
236	0.0718857058
237	0.07185014752
238	0.07168270717
239	0.07147786465
240	0.0712880442
241	0.07117849494
242	0.07102586104
243	0.07081448601
244	0.070661785
245	0.07057521054
246	0.07049964629
247	0.07043068974
248	0.07038406404
249	0.07034365185
250	0.07026703623
251	0.07016374174
252	0.07006623542
253	0.07004312699
254	0.06990937172
255	0.06985603652
256	0.0697951358
257	0.0695817418
258	0.06944141461
259	0.06939148821
260	0.06937063984
261	0.0693216101
262	0.06925042992
263	0.06916078621
264	0.0691337935
265	0.06909005529
266	0.06895854164
267	0.06884282801
268	0.06871059718
269	0.06863958911
270	0.06852508115
271	0.06848801611
272	0.06838874918
273	0.06834347655
274	0.06820820324
275	0.06819055121
276	0.06815667498
277	0.06812713573
278	0.06810853298
279	0.06798280476
280	0.06793162146
281	0.06787479602
282	0.06780376704
283	0.06779455276
284	0.06772768167
285	0.06766231628
286	0.06762499759
287	0.06750766789
288	0.06741999926
289	0.0673377805
290	0.0673049047
291	0.06725351533
292	0.06717062525
293	0.06715540587
294	0.06711748262
295	0.06705549189
296	0.06693765868
297	0.06689225962
298	0.06680110331
299	0.06671751899
300	0.06666225463
301	0.0666086835
302	0.06649920794
303	0.06641771965
304	0.06630718746
305	0.06620477313
306	0.06615523017
307	0.06608454383
308	0.06593529355
309	0.06582169142
310	0.06574427862
311	0.06567563187
312	0.06563931104
313	0.06556099724
314	0.06550610832
315	0.06545848295
316	0.06543447952
317	0.06539279495
318	0.06535675415
319	0.06533836601
320	0.06533002435
321	0.06530435553
322	0.06518427377
323	0.06509291152
324	0.06499027391
325	0.06494694194
326	0.06480331829
327	0.0646844889
328	0.06462719451
329	0.06450347498
330	0.06430689198
331	0.06421914536
332	0.06416126711
333	0.06415693394
334	0.06410452971
335	0.06408873579
336	0.06388522387
337	0.06379955781
338	0.06376140838
339	0.06363473979
340	0.06354160547
341	0.06344485561
342	0.06328810672
343	0.06316266636
344	0.06310755099
345	0.06302615377
346	0.06289898738
347	0.06285158743
348	0.06284558538
349	0.06280478854
350	0.06271188117
351	0.06270544827
352	0.06263436098
353	0.06256541478
354	0.06250795919
355	0.06244888185
356	0.06243998249
357	0.06238446391
358	0.06235433544
359	0.06233831313
360	0.06227514784
361	0.06226823471
362	0.06218675264
363	0.06210692267
364	0.06206280731
365	0.06203146866
366	0.06199637203
367	0.06194637969
368	0.06189800606
369	0.06183363229
370	0.0618112953
371	0.06172529185
372	0.06171380953
373	0.06166343246
374	0.06157243975
375	0.06152336236
376	0.06144992282
377	0.06141606698
378	0.06141077724
379	0.06131436607
380	0.06120011151
381	0.06118959538
382	0.06107622655
383	0.06106145574
384	0.0610345721
385	0.06102982058
386	0.06102877493
387	0.06101504346
388	0.06101085593
389	0.06100013099
390	0.06094365019
391	0.06090896094
392	0.0608487917
393	0.06071848763
394	0.06071405356
395	0.06063299465
396	0.0605925302
397	0.0605209988
398	0.06050344771
399	0.06038970118
400	0.06032640273
401	0.06026546913
402	0.06022850533
403	0.06020010664
404	0.06018900611
405	0.06013910197
406	0.06008884371
407	0.05999063057
408	0.05997664301
409	0.05993870172
410	0.05991839414
411	0.05991320071
412	0.05989247663
413	0.05986800923
414	0.05986452423
415	0.05985100447
416	0.05978400557
417	0.05971169161
418	0.05965375256
419	0.05959629224
420	0.05958320128
421	0.05951786021
422	0.0593536821
423	0.0592906164
424	0.05925508214
425	0.05924218067
426	0.05922876373
427	0.05921672938
428	0.05916284507
429	0.0591548439
430	0.05914673559
431	0.05912900096
432	0.05911187449
433	0.05909870469
434	0.05909488122
435	0.05908468001
436	0.05904066661
437	0.05899795748
438	0.05899244425
439	0.05884092409
440	0.05882760756
441	0.05881199462
442	0.05881013833
443	0.05878073067
444	0.0587605705
445	0.05870087347
446	0.05867513597
447	0.05858385633
448	0.05856653343
449	0.05854035263
450	0.05847995645
451	0.0584475651
452	0.05841080177
453	0.05832690727
454	0.05831510429
455	0.05826537124
456	0.05820893537
457	0.05820495402
458	0.05820139888
459	0.05818123704
460	0.05812440398
461	0.05810472095
462	0.05797700979
463	0.0579609406
464	0.05795602547
465	0.05794053984
466	0.05793683228
467	0.05793258413
468	0.05779158727
469	0.05777585227
470	0.05776447202
471	0.05776242422
472	0.05775599544
473	0.05771629389
474	0.0577101194
475	0.057691903
476	0.05768351271
477	0.05767391376
478	0.05766676982
479	0.05758928955
480	0.05757513656
481	0.05750937041
482	0.05743394384
483	0.05742360926
484	0.05736404369
485	0.05734936067
486	0.05733183106
487	0.05729543771
488	0.05729214314
489	0.05728867608
490	0.05727892072
491	0.05726313024
492	0.05722277309
493	0.05721979815
494	0.0571987313
495	0.05719528466
496	0.05719196935
497	0.05718939315
498	0.05716767215
499	0.05715648183
500	0.05714417013
501	0.0571272595
502	0.0570589216
503	0.0570188695
504	0.05694154854
505	0.05693793819
506	0.05688131381
507	0.05677940521
508	0.05674720276
509	0.05669255975
510	0.05667815292
511	0.05659198749
512	0.05657130582
513	0.05653658723
514	0.05651199007
515	0.0564613029
516	0.05645685426
517	0.05639331794
518	0.05637224238
519	0.0563644606
520	0.05634267604
521	0.05633337446
522	0.05631196266
523	0.0562226058
524	0.05612105566
525	0.05608307902
526	0.05602945402
527	0.05600827063
528	0.05596897925
529	0.05594686521
530	0.05581973511
531	0.05570457398
532	0.0556530563
533	0.05554196328
534	0.05554045729
535	0.05553458858
536	0.05553149573
537	0.05549551022
538	0.05546094118
539	0.05541730165
540	0.05538108558
541	0.05531781508
542	0.05522583149
543	0.05517902945
544	0.05516832031
545	0.0551635466
546	0.05510242973
547	0.05503669676
548	0.05501088126
549	0.054985339
550	0.05497902213
551	0.05487901186
552	0.05485713126
553	0.05479577615
554	0.0546941098
555	0.05464188168
556	0.05461808465
557	0.05458709741
558	0.05453515109
559	0.05447830204
560	0.0544546867
561	0.05441123023
562	0.05440219875
563	0.05438938343
564	0.05437016719
565	0.05436373847
566	0.05435931381
567	0.05431492122
568	0.05426952961
569	0.05418641888
570	0.05416650447
571	0.05413847599
572	0.0541314018
573	0.05410872633
574	0.05410561486
575	0.05405636346
576	0.05401877137
577	0.05396979314
578	0.05390646883
579	0.05377689858
580	0.05368808522
581	0.05365544864
582	0.0536292854
583	0.0535531431
584	0.05346296685
585	0.05343049678
586	0.05336554116
587	0.05332388824
588	0.05329984749
589	0.05325487105
590	0.05325138927
591	0.05324864647
592	0.05318686141
593	0.05318646341
594	0.05316575155
595	0.05311457557
596	0.05310380192
597	0.05308447902
598	0.053020514
599	0.05297220737
600	0.05294306565
601	0.05293326131
602	0.05290396641
603	0.05288846889
604	0.05283025186
605	0.05280564829
606	0.05279591428
607	0.05276884215
608	0.0527591971
609	0.05274219641
610	0.05273865687
611	0.05273824412
612	0.05270687015
613	0.05270015416
614	0.05261561735
615	0.05256744102
616	0.05248847187
617	0.05234869552
618	0.05227256309
619	0.05218034794
620	0.05214803909
621	0.05211249503
622	0.0520558184
623	0.0520332404
624	0.05192885467
625	0.05188907269
626	0.05184696613
627	0.05179124554
628	0.05177560135
629	0.05176392344
630	0.05175120393
631	0.05171864685
632	0.05168393941
633	0.05162526657
634	0.05161099615
635	0.051547041
636	0.05146626127
637	0.05144126731
638	0.05134852659
639	0.0513035901
640	0.05121843413
641	0.05119360846
642	0.05117189983
643	0.05107479808
644	0.05104172962
645	0.05101340256
646	0.05100968662
647	0.05099675695
648	0.05091601565
649	0.05088238031
650	0.05086557174
651	0.05079035572
652	0.0507197863
653	0.05067526734
654	0.050661531
655	0.05065507747
656	0.05058320784
657	0.05056797718
658	0.05053660158
659	0.0504483294
660	0.05039804554
661	0.05033633408
662	0.0503087986
663	0.05025917908
664	0.05021329957
665	0.05015480632
666	0.05010463028
667	0.05008411997
668	0.05008169242
669	0.05005814337
670	0.05002776629
671	0.0499583502
672	0.04994085655
673	0.04992617261
674	0.04990038373
675	0.04988826451
676	0.04983903113
677	0.04982427309
678	0.04972135079
679	0.04970922884
680	0.04962003598
681	0.04958447069
682	0.04955658837
683	0.04952234964
684	0.04950853059
685	0.04947028855
686	0.04944312015
687	0.04939681094
688	0.04938026664
689	0.04933683098
690	0.04929917325
691	0.04929546066
692	0.04929102745
693	0.04926394205
694	0.0492605951
695	0.04922042305
696	0.04920100394
697	0.04915168494
698	0.04912528387
699	0.04910592658
700	0.04909933088
701	0.04908409189
702	0.04907944324
703	0.04906261297
704	0.04905957377
705	0.04901662789
706	0.04898691629
707	0.04897036205
708	0.04896558412
709	0.0489632013
710	0.04892751659
711	0.04889388568
712	0.04878840026
713	0.04876158114
714	0.04870986279
715	0.04862794063
716	0.04862429277
717	0.04859602625
718	0.04858345406
719	0.04846144883
720	0.04843363917
721	0.04841113082
722	0.04840401868
723	0.04834032772
724	0.04825764625
725	0.04822451781
726	0.04821946089
727	0.04819559109
728	0.04819305366
729	0.0481528698
730	0.04806139528
731	0.04804891375
732	0.04799794819
733	0.04790546454
734	0.04789830652
735	0.0478593862
736	0.04780665261
737	0.04779394132
738	0.04775843919
739	0.04764221837
740	0.04763246654
741	0.04759879456
742	0.04759484019
743	0.04759083821
744	0.04757897827
745	0.04755955781
746	0.04747147748
747	0.04746609081
748	0.04746452902
749	0.04742746538
750	0.04739305858
751	0.04737688746
752	0.0473633527
753	0.04735640711
754	0.04735161563
755	0.0473366246
756	0.04733404839
757	0.04728369047
758	0.04727726974
759	0.04725175096
760	0.04722148238
761	0.04716232075
762	0.0471361952
763	0.04704862035
764	0.04703598419
765	0.04695730822
766	0.04691750982
767	0.04688140231
768	0.04684955083
769	0.04684189207
770	0.04680024907
771	0.04679327908
772	0.046783042
773	0.04674329568
774	0.04673131875
775	0.04670963948
776	0.04667207134
777	0.04662236007
778	0.04660780329
779	0.04657497911
780	0.04657279134
781	0.04655857503
